date,AAON,AAPL,ABBV,ABNB,ACN,ADBE,ADI,AFRM,ALAB,AMAT,AMD,AMZN,ANET,APP,ARM,ASAN,ASML,AVGO,AXP,BAC,BILL,BKNG,BSX,CARR,CAT,CDNS,CELH,CFLT,CL,CLX,CME,COIN,COP,COST,CRM,CRWD,CRWV,CSCO,CVX,DASH,DDOG,DE,DELL,DKNG,DOCU,DUOL,EOG,ESTC,ETN,FTNT,GE,GIS,GLW,GOOGL,GS,GTLB,HD,HON,HOOD,HUBS,IBM,ICE,INTC,INTU,IOT,IR,ISRG,JCI,JNJ,JPM,KLAC,KMB,KO,LII,LLY,LOW,LRCX,MA,MAR,MCD,MDB,MDLZ,MELI,META,MNDY,MPWR,MRK,MRVL,MS,MSFT,MU,NBIS,NET,NFLX,NKE,NOW,NVDA,NVTS,NXPI,OKTA,ON,ORCL,ORLY,PANW,PATH,PEP,PG,PH,PLTR,POWI,PYPL,QCOM,QLYS,QQQ,RBLX,ROKU,S,SBUX,SE,SHOP,SLB,SMCI,SNOW,SNPS,SOFI,SPOT,SPY,SYK,TEAM,TER,TJX,TMO,TOST,TSLA,TSM,TT,TTD,TWLO,TXN,U,UBER,UNH,UPST,V,VRTX,WDAY,WFC,WMT,XOM,XYZ,ZM,ZS
2026-07-01,116.27069854736328,294.1263427734375,249.28561401367188,147.30999755859375,129.57200622558594,210.97999572753906,387.7984924316406,83.8499984741211,430.8599853515625,650.2146606445312,540.8800048828125,241.6999969482422,166.6199951171875,564.6099853515625,337.4700012207031,7.309999942779541,1840.6595458984375,368.6686706542969,347.04998779296875,58.06375503540039,38.779998779296875,182.19998168945312,43.060001373291016,71.81175994873047,989.57421875,377.7300109863281,31.8700008392334,,92.23125457763672,95.30660247802734,229.92066955566406,159.24000549316406,102.53610229492188,923.2021484375,162.94332885742188,193.18499755859375,85.68499755859375,116.57390594482422,164.25650024414062,188.8699951171875,264.4800109863281,627.6300048828125,424.5484619140625,25.770000457763672,46.02000045776367,121.21499633789062,127.6427001953125,58.45000076293945,411.29803466796875,158.97999572753906,374.47320556640625,37.1273307800293,220.21534729003906,360.97796630859375,1014.6406860351562,31.530000686645508,348.27349853515625,221.0866241455078,108.6500015258789,187.72000122070312,284.2112121582031,126.30999755859375,127.0199966430664,265.9021301269531,34.18000030517578,80.8409194946289,402.3800048828125,144.395751953125,252.73353576660156,332.5718078613281,265.8894958496094,110.11862182617188,80.80780792236328,571.0800170898438,1190.03466796875,220.55691528320312,390.8448181152344,521.565673828125,367.5730285644531,267.5284423828125,359.3800048828125,59.349998474121094,1742.18994140625,612.4266357421875,76.26000213623047,1331.72998046875,124.63431549072266,271.9828796386719,210.7001495361328,383.5579528808594,1032.121337890625,229.17999267578125,246.30999755859375,74.19000244140625,42.60801315307617,105.80000305175781,197.35916137695312,16.530000686645508,277.9293212890625,140.4600067138672,94.62999725341797,142.00596618652344,92.69000244140625,352.0400085449219,11.550000190734863,139.66795349121094,146.33758544921875,961.8727416992188,125.7300033569336,79.93495178222656,43.9614143371582,180.9352569580078,143.44000244140625,724.4151000976562,57.95000076293945,140.50999450683594,17.59000015258789,102.79946899414062,102.33000183105469,121.62999725341797,44.85725021362305,27.649999618530273,261.19000244140625,454.5299987792969,18.440000534057617,472.4800109863281,743.9127197265625,313.3900146484375,83.16999816894531,427.1759033203125,150.87396240234375,512.9368286132812,28.709999084472656,425.29998779296875,443.0414733886719,483.43707275390625,19.149999618530273,209.27999877929688,296.889892578125,30.190000534057617,72.66000366210938,423.92962646484375,35.7400016784668,350.4289855957031,498.010009765625,130.27000427246094,85.44942474365234,108.56010437011719,135.4032440185547,77.12999725341797,90.12999725341797,146.4499969482422
2026-07-02,107.48199462890625,308.3640441894531,259.2248840332031,148.92999267578125,135.71810913085938,219.72000122070312,376.0143737792969,84.58000183105469,406.4200134277344,602.3958129882812,517.8200073242188,242.6699981689453,159.99000549316406,527.0599975585938,315.2799987792969,7.340000152587891,1767.03466796875,359.7948303222656,351.9599914550781,58.43187713623047,40.47999954223633,184.1153564453125,45.13999938964844,69.81893157958984,961.7459106445312,373.1400146484375,33.15999984741211,,94.58773803710938,96.13690948486328,235.4945068359375,165.47999572753906,104.03610229492188,950.1593017578125,165.8182830810547,193.97999572753906,81.74500274658203,112.27000427246094,167.7361297607422,192.00999450683594,260.3599853515625,621.27001953125,393.66949462890625,25.889999389648438,45.77000045776367,125.76000213623047,129.8165740966797,58.040000915527344,397.5418701171875,156.25,377.04998779296875,36.93073272705078,196.42013549804688,359.6788024902344,1016.02392578125,32.06999969482422,355.2818298339844,229.17236328125,112.7300033569336,192.1199951171875,287.4579162597656,132.54925537109375,120.3499984741211,274.13568115234375,35.93000030517578,80.57097625732422,426.010009765625,140.3670196533203,261.74908447265625,332.9700012207031,235.28407287597656,113.35972595214844,83.64089965820312,570.030029296875,1212.1729736328125,226.10264587402344,351.0370788574219,538.4873046875,372.19366455078125,278.6493835449219,354.8800048828125,60.90999984741211,1763.3599853515625,582.4403686523438,79.7699966430664,1288.1600341796875,128.7997283935547,245.2294921875,212.75880432128906,389.7562561035156,975.4099731445312,215.6199951171875,242.41000366210938,77.6500015258789,43.627201080322266,106.31999969482422,194.61224365234375,14.460000038146973,272.1354064941406,141.4199981689453,91.22000122070312,139.78370666503906,90.25,348.05999755859375,11.710000038146973,142.6956024169922,150.28810119628906,960.95458984375,129.3000030517578,72.68534088134766,45.357967376708984,175.2959442138672,148.1199951171875,711.8582153320312,55.40999984741211,142.42999267578125,17.510000228881836,103.6744384765625,103.30000305175781,119.45999908447266,44.89704513549805,27.219999313354492,260.1499938964844,437.1600036621094,18.239999771118164,485.9700012207031,742.9351806640625,326.5400085449219,83.83999633789062,368.9482727050781,153.77481079101562,523.0390625,28.81999969482422,393.45001220703125,432.9983825683594,477.0023193359375,19.100000381469727,209.30999755859375,291.5870361328125,29.31999969482422,74.43000030517578,422.7568359375,34.779998779296875,361.45849609375,528.0399780273438,135.39999389648438,85.0218734741211,111.57289123535156,136.20802307128906,78.83000183105469,87.1449966430664,147.3300018310547
2026-07-06,109.20977020263672,312.3905944824219,252.95945739746094,147.64999389648438,135.33273315429688,218.07000732421875,387.64892578125,85.77999877929688,432.739990234375,592.1567993164062,552.0499877929688,244.16000366210938,173.27999877929688,543.7899780273438,322.239990234375,7.210000038146973,1822.712646484375,373.2203674316406,356.0299987792969,59.59593963623047,40.22999954223633,180.59385681152344,44.599998474121094,69.84882354736328,968.1240234375,375.7699890136719,33.040000915527344,,92.85765838623047,96.12702178955078,233.66310119628906,168.8699951171875,102.89371490478516,948.7415771484375,165.3590850830078,199.3800048828125,86.45999908447266,113.9800033569336,166.64566040039062,188.4600067138672,255.3699951171875,635.239990234375,411.1206359863281,26.209999084472656,46.900001525878906,129.72000122070312,128.4368133544922,58.540000915527344,412.40533447265625,162.35000610351562,378.67999267578125,35.50540542602539,194.4338836669922,366.2245788574219,1050.1468505859375,32.849998474121094,348.0848693847656,230.4884033203125,117.55000305175781,193.83999633789062,297.3866882324219,134.462890625,122.19999694824219,270.9398498535156,37.5099983215332,80.61096954345703,432.8299865722656,142.32156372070312,258.0572509765625,337.7200012207031,233.04660034179688,111.67000579833984,82.46790313720703,568.0,1198.3428955078125,222.40550231933594,349.828369140625,532.2078247070312,378.9798583984375,277.5273742675781,357.9100036621094,59.16999816894531,1805.6800537109375,599.8165893554688,82.5,1346.1300048828125,126.0360336303711,249.20852661132812,220.88409423828125,386.0133056640625,984.75,213.02000427246094,247.5500030517578,76.0199966430664,42.885074615478516,107.93000030517578,195.33143615722656,15.229999542236328,279.2533874511719,148.60000610351562,94.69000244140625,143.2615966796875,84.23999786376953,357.5299987792969,11.829999923706055,141.77542114257812,148.2036590576172,969.4075927734375,132.5399932861328,72.75505065917969,44.97890090942383,185.47056579589844,158.25999450683594,722.067626953125,57.029998779296875,142.25999450683594,18.149999618530273,101.52677917480469,105.0,120.13999938964844,45.48400115966797,27.190000534057617,262.0899963378906,442.2699890136719,18.610000610351562,483.010009765625,749.4190673828125,324.7300109863281,85.5,379.374267578125,150.83409118652344,517.2035522460938,29.479999542236328,419.7699890136719,450.58123779296875,486.0908203125,19.309999465942383,209.0800018310547,301.9539794921875,29.649999618530273,72.41999816894531,415.4319152832031,34.33000183105469,356.5875549316406,529.5900268554688,137.99000549316406,86.95079803466797,110.38573455810547,135.5622100830078,78.91999816894531,84.95999908447266,150.4199981689453
2026-07-07,109.79901885986328,310.3923034667969,252.85023498535156,148.8000030517578,140.45118713378906,221.5399932861328,377.8786926269531,83.62000274658203,382.8900146484375,553.90771484375,516.1099853515625,245.97999572753906,166.4600067138672,527.97998046875,300.42999267578125,7.489999771118164,1745.023193359375,370.1060485839844,349.5799865722656,59.5561408996582,40.68000030517578,181.5116424560547,45.29999923706055,68.42394256591797,938.3792114257812,371.05999755859375,31.700000762939453,,94.48831176757812,96.2851791381836,239.6251220703125,163.50999450683594,107.72151947021484,945.9959716796875,169.2222900390625,194.6199951171875,83.52999877929688,111.79000091552734,172.5045166015625,195.72000122070312,256.80999755859375,603.6099853515625,416.5915832519531,26.90999984741211,47.22999954223633,131.9499969482422,133.5488739013672,59.459999084472656,394.7088623046875,158.6699981689453,366.9800109863281,36.46873092651367,185.03158569335938,366.7942199707031,1037.896728515625,32.59000015258789,342.6846618652344,224.3767547607422,112.9000015258789,205.1999969482422,303.9496154785156,135.99777221679688,110.38999938964844,279.9300231933594,36.34000015258789,78.6914291381836,427.29998779296875,140.2274169921875,265.9284362792969,339.2200012207031,216.22561645507812,113.37948608398438,83.55143737792969,556.9299926757812,1233.7921142578125,219.54318237304688,325.7839050292969,530.7303466796875,379.9778137207031,280.2182312011719,361.32000732421875,60.220001220703125,1813.6099853515625,615.0946044921875,84.0999984741211,1272.81005859375,128.1038360595703,230.64309692382812,220.82440185546875,388.109375,938.3800048828125,195.19000244140625,268.8299865722656,76.18000030517578,42.756439208984375,110.7300033569336,196.7098846435547,13.989999771118164,271.9263610839844,148.47000122070312,91.0999984741211,141.1090850830078,86.6500015258789,337.0400085449219,11.649999618530273,143.44757080078125,151.6181640625,955.58544921875,134.3699951171875,66.5610122680664,45.53752136230469,181.9795684814453,157.5500030517578,708.6915283203125,56.709999084472656,141.2100067138672,18.15999984741211,103.0182113647461,104.2300033569336,121.87999725341797,46.180381774902344,26.25,262.739990234375,436.6300048828125,17.75,493.95001220703125,745.85791015625,329.739990234375,88.38999938964844,342.9782409667969,153.62527465820312,516.2243041992188,29.610000610351562,402.8999938964844,431.41265869140625,474.617919921875,19.18000030517578,211.97000122070312,291.805908203125,29.65999984741211,74.33000183105469,425.56951904296875,33.060001373291016,351.54693603515625,522.25,143.64999389648438,86.68234252929688,111.27361297607422,140.7784423828125,77.55999755859375,85.68000030517578,149.5
2026-07-08,107.8415298461914,313.1199645996094,250.95375061035156,142.9499969482422,135.55999755859375,220.94000244140625,384.2293395996094,81.27999877929688,393.1600036621094,569.890625,517.4099731445312,243.6199951171875,181.0500030517578,522.1799926757812,300.239990234375,7.079999923706055,1766.3656005859375,387.9834899902344,336.3900146484375,58.004058837890625,39.29999923706055,173.87008666992188,44.810001373291016,66.50086212158203,946.324462890625,374.05999755859375,30.600000381469727,,92.50965881347656,92.82559204101562,241.9342803955078,159.36000061035156,109.98641204833984,951.6170043945312,166.28746032714844,191.1199951171875,90.0,113.81999969482422,174.44757080078125,189.35000610351562,261.0899963378906,596.739990234375,431.2573547363281,27.170000076293945,47.220001220703125,127.56999969482422,136.57640075683594,60.08000183105469,398.579345703125,156.7100067138672,356.0299987792969,35.71183395385742,183.6841278076172,361.6875305175781,1024.621826171875,31.739999771118164,333.75048828125,219.70077514648438,113.52999877929688,197.82000732421875,299.898681640625,136.71539306640625,110.23999786376953,270.8999938964844,36.439998626708984,76.69189453125,415.1000061035156,139.8385009765625,262.1072998046875,330.6199951171875,220.93028259277344,109.66407775878906,82.9052963256836,537.760009765625,1214.0902099609375,211.54263305664062,332.79644775390625,518.989990234375,370.40728759765625,276.28619384765625,359.3999938964844,59.47999954223633,1809.3800048828125,602.6444091796875,81.0199966430664,1315.510009765625,125.25067138671875,231.65286254882812,216.87615966796875,382.6197204589844,948.7999877929688,216.47999572753906,273.3999938964844,75.58999633789062,42.439796447753906,107.77999877929688,203.891845703125,13.359999656677246,282.5386047363281,146.77000427246094,93.79000091552734,140.00294494628906,84.9800033569336,320.5899963378906,11.420000076293945,141.00367736816406,147.30039978027344,937.2423706054688,132.22000122070312,66.18260192871094,44.42028045654297,185.55014038085938,153.5399932861328,710.699462890625,55.119998931884766,139.25,17.809999465942383,103.2767333984375,105.30999755859375,119.22000122070312,47.18517303466797,28.170000076293945,261.30999755859375,434.5,17.729999542236328,485.2200012207031,743.5536499023438,326.8500061035156,85.47000122070312,351.4350280761719,152.30943298339844,509.7392883300781,28.56999969482422,394.05999755859375,435.81085205078125,471.17608642578125,19.06999969482422,215.5,299.78509521484375,29.459999084472656,73.5999984741211,422.995361328125,31.809999465942383,346.88555908203125,498.42999267578125,137.8800048828125,85.07158660888672,112.82987976074219,140.2220458984375,76.55000305175781,87.4000015258789,143.5500030517578
2026-07-09,110.1086196899414,315.947509765625,248.1437530517578,146.88999938964844,139.05999755859375,222.64999389648438,392.4443359375,83.77999877929688,417.45001220703125,588.0311889648438,546.719970703125,247.0399932861328,184.69000244140625,520.4299926757812,327.8699951171875,7.369999885559082,1801.9195556640625,400.38092041015625,346.7200012207031,58.94923782348633,40.52000045776367,175.09713745117188,44.9900016784668,67.56702423095703,936.6524047851562,385.95001220703125,30.520000457763672,,90.49122619628906,91.99529266357422,238.58998107910156,158.44000244140625,107.30429077148438,911.520751953125,162.21461486816406,198.39999389648438,89.69999694824219,118.30999755859375,172.54417419433594,192.35000610351562,269.0,592.9000244140625,449.4772644042969,26.290000915527344,48.7599983215332,129.9499969482422,132.5562286376953,62.060001373291016,404.8339538574219,163.72999572753906,359.0400085449219,35.23999786376953,192.0184326171875,358.65948486328125,1050.823486328125,33.86000061035156,336.2520751953125,222.75161743164062,115.11000061035156,205.9499969482422,293.1967468261719,134.66221618652344,112.54000091552734,273.3800048828125,36.9900016784668,77.03182220458984,411.54998779296875,140.13766479492188,257.8283996582031,335.4700012207031,229.26087951660156,108.62652587890625,82.13985443115234,537.5,1215.2086181640625,211.69171142578125,352.79522705078125,523.2000122070312,371.714599609375,274.5386047363281,362.8699951171875,58.29999923706055,1807.8299560546875,630.9819946289062,83.6500015258789,1374.1300048828125,124.33607482910156,243.2100067138672,220.91392517089844,383.6377868652344,991.6400146484375,216.1999969482422,275.79998779296875,75.47000122070312,42.33095169067383,108.83999633789062,202.5533447265625,14.180000305175781,289.23846435546875,148.83999633789062,97.87000274658203,143.72000122070312,85.12000274658203,338.30999755859375,11.800000190734863,136.40283203125,145.7618865966797,947.2621459960938,129.0399932861328,70.53436279296875,45.208335876464844,190.0755157470703,159.38999938964844,722.5271606445312,56.43000030517578,140.25999450683594,18.860000610351562,105.8022232055664,109.11000061035156,123.16999816894531,46.99615478515625,28.239999771118164,267.489990234375,443.3699951171875,18.6200008392334,485.8800048828125,749.8480224609375,327.1099853515625,90.70999908447266,362.6107177734375,150.4253692626953,524.3081665039062,28.850000381469727,406.54998779296875,435.7908935546875,470.8867492675781,19.75,218.60000610351562,306.9583435058594,30.729999542236328,74.3499984741211,429.03814697265625,33.22999954223633,347.5543518066406,496.5,138.33999633789062,86.41388702392578,111.94200897216797,136.57565307617188,77.41999816894531,89.87999725341797,147.1199951171875
2026-07-10,114.01360321044922,315.0483093261719,246.32667541503906,148.6199951171875,135.22999572753906,223.63999938964844,394.4482116699219,83.41999816894531,412.9700012207031,601.8564453125,557.8900146484375,245.33999633789062,186.9600067138672,506.9800109863281,323.3900146484375,7.329999923706055,1794.9984130859375,399.2430114746094,350.5799865722656,59.367103576660156,41.36000061035156,177.96022033691406,44.77000045776367,69.09154510498047,950.6464233398438,384.1700134277344,30.600000381469727,,91.7142105102539,95.44498443603516,239.14736938476562,159.07000732421875,108.31754302978516,914.7955322265625,163.03318786621094,187.17999267578125,88.87999725341797,121.30999755859375,174.87384033203125,191.82000732421875,257.5400085449219,586.8599853515625,434.2524108886719,26.475000381469727,49.18000030517578,124.76000213623047,133.11212158203125,60.2400016784668,406.2803955078125,157.50999450683594,359.2699890136719,36.220001220703125,190.53123474121094,356.9505615234375,1050.037353515625,32.41999816894531,340.78863525390625,225.74264526367188,111.97000122070312,207.47999572753906,285.5118713378906,134.8117218017578,109.83999633789062,274.9599914550781,36.720001220703125,78.83139038085938,406.7799987792969,142.4113006591797,255.7188262939453,336.4700012207031,231.2586212158203,111.07711791992188,82.99475860595703,552.030029296875,1186.879150390625,210.3301239013672,349.9582214355469,526.739990234375,375.34722900390625,272.6619567871094,342.0799865722656,58.83000183105469,1852.219970703125,668.6823120117188,82.47000122070312,1352.739990234375,122.81504821777344,235.80999755859375,221.06309509277344,384.37640380859375,979.2999877929688,219.64999389648438,268.3999938964844,73.37000274658203,43.90426254272461,107.70999908447266,210.72421264648438,13.470000267028809,290.95074462890625,138.6300048828125,95.95999908447266,140.63999938964844,86.27999877929688,325.9100036621094,11.680000305175781,135.9279022216797,145.95046997070312,959.337890625,126.79000091552734,71.7691879272461,46.20587158203125,188.1360626220703,152.69000244140625,724.7548217773438,55.349998474121094,140.69000244140625,17.8799991607666,105.40451049804688,111.13999938964844,122.54000091552734,47.513465881347656,28.309999465942383,261.45001220703125,445.5,18.780000686645508,479.7699890136719,753.0799560546875,329.7799987792969,88.86000061035156,359.4619445800781,150.86398315429688,526.6463012695312,29.31999969482422,407.760009765625,432.9485168457031,478.568603515625,19.530000686645508,214.55999755859375,309.8734130859375,30.889999389648438,74.54000091552734,422.0213623046875,32.7400016784668,348.3229064941406,485.3900146484375,138.9499969482422,86.66246032714844,113.62797546386719,137.9865264892578,77.30000305175781,89.76000213623047,139.27000427246094
2026-07-13,112.04612731933594,317.03656005859375,246.2472381591797,146.3300018310547,138.52000427246094,230.61000061035156,384.8374938964844,81.93000030517578,362.04998779296875,574.775390625,534.3900146484375,247.30999755859375,181.14999389648438,442.8500061035156,298.989990234375,7.690000057220459,1723.8106689453125,383.3519287109375,354.42999267578125,59.197967529296875,42.86000061035156,175.37646484375,44.650001525878906,68.3641586303711,929.7451782226562,377.9200134277344,29.829999923706055,,92.6786880493164,93.95243072509766,243.95480346679688,157.3699951171875,112.102294921875,924.9594116210938,170.9193115234375,187.91000366210938,83.30999755859375,119.25,180.6236572265625,189.57000732421875,260.239990234375,585.6400146484375,426.4053649902344,26.450000762939453,49.869998931884766,132.33999633789062,138.58152770996094,62.43000030517578,401.86126708984375,160.6199951171875,353.4200134277344,36.599998474121094,182.76585388183594,352.2835693359375,1040.8125,33.470001220703125,334.6439208984375,221.5851287841797,109.86000061035156,217.58999633789062,288.1628723144531,137.21372985839844,103.12000274658203,289.760009765625,36.83000183105469,78.54145812988281,407.1199951171875,143.52816772460938,256.5049133300781,334.5299987792969,221.99908447265625,108.8735580444336,83.75025177001953,551.1799926757812,1180.1788330078125,206.42425537109375,329.5699157714844,537.7000122070312,362.1340637207031,270.68597412109375,337.9700012207031,59.86000061035156,1867.300048828125,656.2120971679688,86.83999633789062,1291.3800048828125,123.30217742919922,217.52999877929688,219.87960815429688,390.2553405761719,937.0,210.50999450683594,269.5299987792969,73.83000183105469,43.300662994384766,111.26000213623047,203.30250549316406,12.869999885559082,277.14288330078125,139.52999877929688,90.37000274658203,131.5399932861328,87.27999877929688,330.29998779296875,11.850000381469727,137.0261688232422,147.27061462402344,949.3479614257812,130.0399932861328,69.15016174316406,47.532596588134766,182.98410034179688,151.5399932861328,710.9990844726562,55.029998779296875,142.33999633789062,18.549999237060547,106.7269058227539,110.66000366210938,124.73999786376953,47.115535736083984,27.65999984741211,268.6499938964844,433.82000732421875,18.1299991607666,479.8399963378906,747.3142700195312,331.45001220703125,96.16000366210938,340.97900390625,150.05653381347656,528.105224609375,29.959999084472656,394.760009765625,420.4520263671875,478.76812744140625,19.790000915527344,218.24000549316406,297.0491027832031,30.68000030517578,74.26000213623047,426.4640197753906,31.459999084472656,357.08660888671875,480.25,144.8699951171875,87.16954040527344,114.50586700439453,143.58029174804688,78.72000122070312,91.87999725341797,141.82000732421875
2026-07-14,112.7851791381836,314.58868408203125,243.0500030517578,146.5399932861328,134.55999755859375,220.77999877929688,391.5570068359375,84.44999694824219,361.7799987792969,595.063720703125,548.1300048828125,247.49000549316406,182.57000732421875,448.9800109863281,281.1700134277344,7.460000038146973,1773.3465576171875,388.4027099609375,355.05999755859375,60.31228256225586,41.369998931884766,174.4287567138672,42.630001068115234,69.51004028320312,931.6117553710938,376.79998779296875,30.139999389648438,,90.51111602783203,93.65589141845703,242.4717559814453,161.5,111.12879180908203,920.2868041992188,167.26573181152344,210.72999572753906,79.94000244140625,117.08999633789062,180.18746948242188,187.7899932861328,270.7300109863281,584.4000244140625,456.7851867675781,25.209999084472656,49.380001068115234,128.35000610351562,136.99330139160156,62.31999969482422,414.5001525878906,166.8300018310547,353.7300109863281,36.459999084472656,187.28733825683594,359.2790832519531,1134.4439697265625,32.97999954223633,335.2693176269531,222.0138397216797,113.44999694824219,209.67999267578125,215.52394104003906,137.1539306640625,107.76000213623047,282.42999267578125,36.900001525878906,78.9913558959961,379.5,144.83453369140625,252.60418701171875,342.8900146484375,230.1099090576172,105.55339813232422,82.58719635009766,562.77001953125,1150.890869140625,206.40438842773438,345.73272705078125,538.02001953125,362.45343017578125,267.0419006347656,344.6700134277344,58.79999923706055,1873.8800048828125,660.5186767578125,81.83999633789062,1376.4100341796875,120.07124328613281,222.44000244140625,226.423583984375,384.20672607421875,983.1199951171875,194.08999633789062,281.75,73.52999877929688,42.41011428833008,104.8499984741211,211.5632781982422,13.09000015258789,282.59832763671875,154.6199951171875,93.7300033569336,127.94000244140625,85.75,352.8900146484375,11.9399995803833,134.01829528808594,144.99758911132812,962.6112670898438,133.72000122070312,70.46465301513672,47.25328063964844,177.1359405517578,164.1199951171875,718.9408569335938,54.470001220703125,141.75999450683594,19.920000076293945,105.56359100341797,109.29000091552734,125.68000030517578,47.29460525512695,27.649999618530273,275.94000244140625,425.8999938964844,18.549999237060547,481.05999755859375,749.9677124023438,311.07000732421875,89.08000183105469,353.0943908691406,149.8671417236328,533.6609497070312,30.0,396.17999267578125,419.2652587890625,482.4095153808594,18.940000534057617,217.8300018310547,303.9935302734375,31.75,72.08000183105469,422.587890625,31.719999313354492,355.3598327636719,476.30999755859375,139.80999755859375,84.80313110351562,113.4284439086914,144.15655517578125,79.98999786376953,91.1500015258789,152.08999633789062
2026-07-15,112.96495056152344,327.2178039550781,244.11000061035156,148.3800048828125,137.02000427246094,224.55999755859375,389.7724304199219,81.70999908447266,350.6199951171875,578.81103515625,529.1400146484375,254.9600067138672,171.9199981689453,452.7300109863281,277.010009765625,7.539999961853027,1812.9254150390625,393.5633239746094,358.44000244140625,61.27735900878906,44.630001068115234,182.35960388183594,43.040000915527344,68.49369049072266,912.6069946289062,371.5,30.209999084472656,,90.9486083984375,95.83048248291016,244.03440856933594,167.2100067138672,110.72150421142578,915.0850830078125,166.7067108154297,206.77000427246094,77.12000274658203,111.7699966430664,180.02886962890625,190.16000366210938,264.4599914550781,589.47998046875,411.9991760253906,25.25,51.15999984741211,131.22000122070312,136.45729064941406,62.2400016784668,411.8466796875,164.50999450683594,360.3500061035156,37.220001220703125,174.08221435546875,370.6817626953125,1146.455078125,32.83000183105469,338.9422607421875,222.17335510253906,115.54000091552734,215.3300018310547,209.69573974609375,139.3765411376953,102.98999786376953,279.70001220703125,36.43000030517578,79.12132263183594,388.9700012207031,142.36143493652344,245.8076934814453,346.9100036621094,224.24655151367188,105.26683807373047,81.96092224121094,548.6699829101562,1154.9749755859375,208.37222290039062,335.07403564453125,535.2100219726562,368.3015441894531,263.080078125,333.0400085449219,58.720001220703125,1843.18994140625,680.7727661132812,80.70999908447266,1352.6600341796875,122.8846435546875,206.25999450683594,227.2987823486328,394.8866271972656,904.280029296875,199.50999450683594,273.0400085449219,73.68000030517578,42.3210563659668,104.7300033569336,212.26248168945312,13.270000457763672,277.7601013183594,150.86000061035156,92.54000091552734,132.49000549316406,82.7300033569336,354.0199890136719,11.949999809265137,133.9688262939453,146.9530029296875,951.0346069335938,133.75999450683594,70.72356414794922,55.383201599121094,177.01658630371094,159.32000732421875,716.9928588867188,57.06999969482422,143.32000732421875,19.579999923706055,104.5096435546875,111.36000061035156,123.55000305175781,47.30455017089844,26.889999389648438,271.8699951171875,425.2799987792969,17.8700008392334,485.3800048828125,752.9403076171875,316.44000244140625,91.7699966430664,341.9886169433594,150.4951629638672,534.8800048828125,30.389999389648438,394.4599914550781,418.357666015625,479.06744384765625,19.3700008392334,211.5399932861328,299.6557312011719,31.270000457763672,72.66999816894531,415.95867919921875,31.59000015258789,354.4814758300781,477.0799865722656,141.82000732421875,87.01045989990234,112.26124572753906,143.58029174804688,81.80999755859375,92.5999984741211,148.19000244140625
