date,ticker,horizon,screening_profile,validation_bucket,high_probability_score,calibrated_win_probability,signal_score,point_in_time_universe_member,forward_return_5d,forward_return_20d,forward_return_60d
2025-03-17,AAPL,short,mega_cap_tech,filtered_out,38.28,0.4505,34.5,False,0.0314485186034454,-0.0536448629348266,-0.069903492877316
2025-03-17,AAPL,medium,mega_cap_tech,filtered_out,39.97,0.05,39.5,False,0.0314485186034454,-0.0536448629348266,-0.069903492877316
2025-03-17,AAPL,long,mega_cap_tech,filtered_out,41.73,0.05,45.51,False,0.0314485186034454,-0.0536448629348266,-0.069903492877316
2025-04-14,AAPL,short,mega_cap_tech,filtered_out,41.87,0.4575,46.11,False,-0.0137270014857688,0.0527809993673968,0.0440296875037871
2025-04-14,AAPL,medium,mega_cap_tech,filtered_out,40.17,0.05,40.54,False,-0.0137270014857688,0.0527809993673968,0.0440296875037871
2025-04-14,AAPL,long,mega_cap_tech,filtered_out,41.87,0.05,46.17,False,-0.0137270014857688,0.0527809993673968,0.0440296875037871
2025-05-13,AAPL,short,mega_cap_tech,early_watchlist,48.6,0.474,49.73,False,-0.0285069799224976,-0.0664537659724083,0.0771145567180486
2025-05-13,AAPL,medium,mega_cap_tech,filtered_out,41.69,0.05,44.87,False,-0.0285069799224976,-0.0664537659724083,0.0771145567180486
2025-05-13,AAPL,long,mega_cap_tech,filtered_out,41.6,0.05,45.12,False,-0.0285069799224976,-0.0664537659724083,0.0771145567180486
2025-06-11,AAPL,short,mega_cap_tech,filtered_out,38.55,0.4517,35.14,False,-0.0110674759289777,0.0622799359544652,0.1980580263148972
2025-06-11,AAPL,medium,mega_cap_tech,filtered_out,40.21,0.05,40.04,False,-0.0110674759289777,0.0622799359544652,0.1980580263148972
2025-06-11,AAPL,long,mega_cap_tech,filtered_out,41.76,0.05,45.38,False,-0.0110674759289777,0.0622799359544652,0.1980580263148972
2025-07-11,AAPL,short,mega_cap_tech,filtered_out,37.52,0.2644,41.34,False,9.467568607957055e-05,0.0861431940369843,0.2169980509141897
2025-07-11,AAPL,medium,mega_cap_tech,early_watchlist,47.3,0.05,48.22,False,9.467568607957055e-05,0.0861431940369843,0.2169980509141897
2025-07-11,AAPL,long,mega_cap_tech,filtered_out,39.14,0.05,47.57,False,9.467568607957055e-05,0.0861431940369843,0.2169980509141897
2025-08-08,AAPL,short,mega_cap_tech,early_watchlist,57.37,0.5228,59.7,False,0.0109126890694166,0.038369179616956,0.1744291589627531
2025-08-08,AAPL,medium,mega_cap_tech,early_watchlist,55.28,0.05,59.61,False,0.0109126890694166,0.038369179616956,0.1744291589627531
2025-08-08,AAPL,long,mega_cap_tech,filtered_out,43.37,0.05,57.69,False,0.0109126890694166,0.038369179616956,0.1744291589627531
2025-09-08,AAPL,short,mega_cap_tech,early_watchlist,52.05,0.5819,47.79,False,-0.0049605283716942,0.0790734531935246,0.2042518704340736
2025-09-08,AAPL,medium,mega_cap_tech,early_watchlist,53.62,0.544,55.67,False,-0.0049605283716942,0.0790734531935246,0.2042518704340736
2025-09-08,AAPL,long,mega_cap_tech,early_watchlist,53.67,0.1532,59.34,False,-0.0049605283716942,0.0790734531935246,0.2042518704340736
2025-10-06,AAPL,short,mega_cap_tech,early_watchlist,55.08,0.5851,46.91,False,-0.0351785281136302,0.0481514222046324,0.0601252091135504
2025-10-06,AAPL,medium,mega_cap_tech,early_watchlist,60.03,0.5816,59.75,False,-0.0351785281136302,0.0481514222046324,0.0601252091135504
2025-10-06,AAPL,long,mega_cap_tech,early_watchlist,59.74,0.4773,60.72,False,-0.0351785281136302,0.0481514222046324,0.0601252091135504
2025-11-03,AAPL,short,mega_cap_tech,early_watchlist,51.3,0.5769,42.21,False,0.0023832495502971,0.0647368700034738,-0.0346345809145753
2025-11-03,AAPL,medium,mega_cap_tech,early_watchlist,55.38,0.5368,55.89,False,0.0023832495502971,0.0647368700034738,-0.0346345809145753
2025-11-03,AAPL,long,mega_cap_tech,early_watchlist,59.12,0.6654,61.51,False,0.0023832495502971,0.0647368700034738,-0.0346345809145753
2025-12-02,AAPL,short,mega_cap_tech,early_watchlist,64.15,0.6073,47.33,False,-0.0314826702852834,-0.0500716683102784,-0.0741546136027382
2025-12-02,AAPL,medium,mega_cap_tech,near_watchlist,69.46,0.6583,57.95,False,-0.0314826702852834,-0.0500716683102784,-0.0741546136027382
2025-12-02,AAPL,long,mega_cap_tech,early_watchlist,72.8,0.737,61.68,False,-0.0314826702852834,-0.0500716683102784,-0.0741546136027382
2025-12-31,AAPL,short,mega_cap_tech,filtered_out,40.21,0.4768,34.5,False,-0.0471565448928832,-0.0455380852534945,-0.0919561959866789
2025-12-31,AAPL,medium,mega_cap_tech,filtered_out,44.4,0.5537,43.09,False,-0.0471565448928832,-0.0455380852534945,-0.0919561959866789
2025-12-31,AAPL,long,mega_cap_tech,early_watchlist,57.18,0.6166,55.61,False,-0.0471565448928832,-0.0455380852534945,-0.0919561959866789
2026-01-30,AAPL,short,mega_cap_tech,early_watchlist,47.81,0.5025,42.62,False,0.0718358811307768,0.0211487788258408,0.0442550513009916
2026-01-30,AAPL,medium,mega_cap_tech,early_watchlist,49.08,0.5699,42.3,False,0.0718358811307768,0.0211487788258408,0.0442550513009916
2026-01-30,AAPL,long,mega_cap_tech,early_watchlist,48.35,0.1398,48.89,False,0.0718358811307768,0.0211487788258408,0.0442550513009916
2026-03-02,AAPL,short,mega_cap_tech,early_watchlist,45.96,0.4635,38.23,False,-0.0182834546453182,-0.0683363026691713,0.1753415505471731
2026-03-02,AAPL,medium,mega_cap_tech,early_watchlist,48.59,0.567,41.09,False,-0.0182834546453182,-0.0683363026691713,0.1753415505471731
2026-03-02,AAPL,long,mega_cap_tech,early_watchlist,47.49,0.1539,46.42,False,-0.0182834546453182,-0.0683363026691713,0.1753415505471731
2026-03-30,AAPL,short,mega_cap_tech,filtered_out,44.78,0.4575,34.5,False,0.0278554985408341,0.097636117710719,0.1166666439604102
2026-03-30,AAPL,medium,mega_cap_tech,early_watchlist,48.18,0.5683,39.5,False,0.0278554985408341,0.097636117710719,0.1166666439604102
2026-03-30,AAPL,long,mega_cap_tech,early_watchlist,47.12,0.1144,45.12,False,0.0278554985408341,0.097636117710719,0.1166666439604102
2025-03-17,MSFT,short,mega_cap_tech,filtered_out,39.0,0.4521,36.75,False,0.0112682816720774,-0.0022898892612344,0.2181312578605432
