probability_bucket,probability_bucket_zh,sample_count,avg_estimated_probability,actual_win_rate_20d,avg_return_20d,calibration_error,calibration_error_abs,recommended_probability_adjustment,adjusted_estimated_probability,adjusted_calibration_error_abs,brier_score,expected_calibration_error_component,formula_action,formula_action_zh,calibration_quality,calibration_quality_zh,calibration_note,calibration_note_zh
below_50,低于50%,4674,0.2901013050919983,0.5160462130937099,0.0182075178448798,0.2259449080017115,0.2259449080017115,0.1,0.3901013050919983,0.1259449080017115,0.3207597999679075,0.1698129120437369,raise_probability_estimate,上调胜率估计,miscalibrated,偏差较大,Estimated win probability averaged 29.01%; actual 20d win rate was 51.60%. Suggested probability adjustment is +10.00%.,估计胜率平均为29.01%；未来20日实际胜率为51.60%。建议概率修正为+10.00%。
50_to_55,50%-55%,310,0.52504,0.5064516129032258,0.0147023052597629,-0.0185883870967741,0.0185883870967741,-0.0185883870967741,0.5064516129032258,0.0,0.2511895061935484,0.0009265798359864,keep_probability_formula,保持概率公式,well_calibrated,校准较好,Estimated win probability averaged 52.50%; actual 20d win rate was 50.65%. Suggested probability adjustment is -1.86%.,估计胜率平均为52.50%；未来20日实际胜率为50.65%。建议概率修正为-1.86%。
55_to_60,55%-60%,267,0.5744441947565543,0.5243445692883895,0.0038701915545951,-0.0500996254681648,0.0500996254681648,-0.0500996254681648,0.5243445692883895,0.0,0.2518496588764045,0.0021509245859462,monitor_probability_formula,继续观察概率公式,acceptable,可接受,Estimated win probability averaged 57.44%; actual 20d win rate was 52.43%. Suggested probability adjustment is -5.01%.,估计胜率平均为57.44%；未来20日实际胜率为52.43%。建议概率修正为-5.01%。
60_to_65,60%-65%,212,0.6256528301886792,0.5613207547169812,0.0230097646319546,-0.064332075471698,0.064332075471698,-0.064332075471698,0.5613207547169812,0.0,0.2509053207547169,0.0021930213860749,monitor_probability_formula,继续观察概率公式,acceptable,可接受,Estimated win probability averaged 62.57%; actual 20d win rate was 56.13%. Suggested probability adjustment is -6.43%.,估计胜率平均为62.57%；未来20日实际胜率为56.13%。建议概率修正为-6.43%。
65_plus,65%以上,756,0.7439404761904763,0.5568783068783069,0.0258856130425836,-0.1870621693121694,0.1870621693121694,-0.1,0.6439404761904763,0.0870621693121694,0.287713151957672,0.0227398295545907,lower_probability_estimate,下调胜率估计,miscalibrated,偏差较大,Estimated win probability averaged 74.39%; actual 20d win rate was 55.69%. Suggested probability adjustment is -10.00%.,估计胜率平均为74.39%；未来20日实际胜率为55.69%。建议概率修正为-10.00%。
overall,整体,6219,0.380628702363724,0.5224312590448625,0.0185143250916127,0.1418025566811385,0.1418025566811385,0.1,0.480628702363724,0.0418025566811385,0.3079348740585303,0.1418025566811385,raise_probability_estimate,上调胜率估计,miscalibrated,偏差较大,Overall estimated win probability averaged 38.06%; actual 20d win rate was 52.24%. Suggested global probability adjustment is +10.00%.,整体估计胜率平均为38.06%；未来20日实际胜率为52.24%。建议整体概率修正为+10.00%。
