ticker
AAPL
MSFT
NVDA
GOOGL
META
AMZN
AVGO
TSLA
NFLX
ORCL
NOW
CRM
ADBE
INTU
SNOW
DDOG
PANW
PLTR
AMD
INTC
QCOM
AMAT
MU
TSM
ASML
ANET
MRVL
SMCI
DELL
ARM
CRWD
ZS
FTNT
OKTA
S
QLYS
NET
PYPL
XYZ
COIN
HOOD
SOFI
AFRM
UPST
COST
WMT
PG
KO
PEP
MCD
MDLZ
CL
CLX
AAON
CARR
LII
TT
JCI
IR
ETN
HON
PH
MDB
UNH
LLY
JNJ
ABBV
MRK
TMO
ISRG
SYK
BSX
VRTX
JPM
V
MA
BAC
WFC
GS
MS
AXP
CME
ICE
HD
LOW
NKE
SBUX
BKNG
TJX
ORLY
MAR
KMB
GIS
XOM
CVX
COP
EOG
SLB
CAT
DE
GE
ALAB
APP
BILL
CELH
DUOL
ESTC
HUBS
TOST
TTD
SHOP
MELI
SE
ABNB
UBER
DASH
DKNG
ROKU
SPOT
LRCX
KLAC
ADI
NXPI
TXN
CDNS
SNPS
ON
MPWR
TER
NBIS
POWI
TEAM
WDAY
DOCU
ZM
TWLO
GTLB
CFLT
PATH
U
RBLX
MNDY
ASAN
CRWV
IOT
NVTS
CSCO
IBM
ACN
GLW
