date,equity,benchmark_close
2026-07-09,1000.0,723.280029296875
2026-07-10,998.65,725.510009765625
2026-07-13,960.46,711.739990234375
2026-07-14,960.46,
2026-07-15,953.11,717.739990234375
2026-07-16,942.7,705.9400024414062
2026-07-17,927.92,695.3300170898438
2026-07-20,925.26,
2026-07-21,929.06,708.969970703125
2026-07-22,929.06,
2026-07-23,921.8,691.9600219726562
2026-07-24,890.81,684.22998046875
2026-07-27,887.26,682.1199951171875
2026-07-28,844.05,675.489990234375
2026-07-29,825.02,661.72998046875
2026-07-30,824.77,683.5499877929688
2026-07-31,826.46,687.989990234375
2026-08-03,831.23,700.0700073242188
2026-08-04,852.97,723.8499755859375
2026-08-05,847.99,717.2999877929688
2026-08-06,843.41,714.6500244140625
2026-08-07,838.56,723.03
2026-08-10,853.51,720.8699951171875
2026-08-11,857.12,718.4500122070312
2026-08-12,858.37,723.7000122070312
2026-08-13,870.91,732.0700073242188
2026-08-14,850.17,731.0700073242188
2026-08-17,831.06,729.8699951171875
2026-08-18,814.34,717.510009765625
2026-08-19,800.03,716.0800170898438
2026-08-20,784.64,710.9299926757812
2026-08-21,800.81,713.4400024414062
2026-08-24,798.28,706.3200073242188
2026-08-25,795.11,710.719970703125
2026-08-26,795.58,711.3699951171875
2026-08-27,791.07,721.1099853515625
2026-08-28,785.56,716.4299926757812
2026-09-01,764.36,707.6400146484375
2026-09-02,766.33,709.239990234375
2026-09-03,764.61,717.6699829101562
2026-09-04,751.61,718.9600219726562
2026-09-07,751.57,718.9600219726562
2026-09-08,744.15,718.3599853515625
2026-09-09,729.84,716.3099975585938
2026-09-10,715.34,708.6900024414062
2026-09-11,728.07,714.8800048828125
2026-09-15,706.52,704.5399780273438
2026-09-16,710.89,704.719970703125
2026-09-17,725.47,716.9199829101562
2026-09-18,721.29,721.4500122070312
2026-09-21,752.34,741.469970703125
2026-09-24,752.7,741.21
